Evaluation,Decision,Avg_Deviation (Â°C),Avg_Error (Â°C),Avg_Power (30 min)
1,Normal,0.19,±0.29,
2,Normal,0.21,±0.28,
3,Normal,0.15,±0.30,
4,Normal,0.17,±0.33,
5,Normal,0.19,±0.31,
6,Normal,0.17,±0.34,
7,Normal,0.18,±0.33,
8,Normal,0.17,±0.28,41.94
9,Normal,0.17,±0.29,
10,Normal,0.19,±0.28,
11,Normal,0.18,±0.29,
12,Normal,0.19,±0.29,
13,Normal,0.19,±0.28,
14,Normal,0.22,±0.28,
15,Normal,0.23,±0.28,
16,Normal,0.21,±0.32,
17,Normal,0.22,±0.24,
18,Normal,0.21,±0.33,
19,Normal,0.23,±0.31,
20,Normal,0.24,±0.29,
21,Normal,0.2,±0.29,
22,Normal,0.24,±0.25,
23,Normal,0.18,±0.36,
24,Normal,0.19,±0.30,
25,Normal,0.24,±0.27,
26,Normal,0.18,±0.31,
27,Normal,0.19,±0.29,
28,Normal,0.21,±0.28,
29,Normal,0.16,±0.29,
30,Normal,0.2,±0.29,
31,Normal,0.18,±0.27,
32,Normal,0.19,±0.30,
33,Normal,0.21,±0.30,
34,Normal,0.19,±0.30,
35,Normal,0.16,±0.29,
36,Normal,0.17,±0.30,
37,Normal,0.18,±0.31,
38,Normal,0.17,±0.32,
39,Normal,0.2,±0.34,
40,Normal,0.16,±0.30,
41,Normal,0.18,±0.30,
42,Normal,0.17,±0.29,
43,Normal,0.2,±0.27,
44,Normal,0.18,±0.31,
45,Normal,0.16,±0.29,
